계정코드,기표여부,사용여부,계정과목,제조,판관
6000000,0,0,"6000000 -6000000 Chi phí sản xuất, kinh doanh",0,0
6110000,0,0,6110000 -Mua hàng,1,0
6111000,1,0,"6111000 -Mua nguyên liệu, vật liệu",1,0
6112000,1,0,6112000 -Mua hàng hóa,1,0
6210000,0,0,6210000 -Chi phí nguyên vật liệu trực tiếp,1,0
6211000,1,0,6211000 -Chi phí nguyên liệu chính,1,0
6212000,1,0,6212000 -Chi phí nguyên liệu phụ,1,0
6220000,0,0,6220000 -Chi phí nhân công trực tiếp,1,0
6221000,0,0,6221000 -Chi phí nhân công trực tiếp-Lương,1,0
6221100,1,0,6221100 -Chi phí nhân công trực tiếp-Lương,1,0
6221200,1,0,6221200 -Chi phí nhân công trực tiếp-Bảo hiểm xã hội,1,0
6221300,1,0,6221300 -Chi phí nhân công trực tiếp-Bảo hiểm y tế,1,0
6221400,1,0,6221400 -Chi phí nhân công trực tiếp-Bảo hiểm thất nghiệp,1,0
6221500,1,0,6221500 -Chi phí nhân công trực tiếp-Kinh phí công đoàn,1,0
6221600,0,0,6221600 -Chi phí nhân công trực tiếp-Các khoản phụ cấp,1,0
6221610,1,0,6221610 -Phụ cấp – phép năm,1,0
6221620,1,0,6221620 -Phụ cấp – chung,1,0
6221700,1,0,6221700 -Chi phí nhân công trực tiếp- Thuế TNCN,1,0
6221800,1,0,6221800 -Chi phí nhân công trực tiếp- Tiền thưởng,1,0
6222000,0,0,6222000 -Chi phí nhân công trực tiếp-Lương khác,1,0
6222100,0,0,6222100 -Chi phí nhân công trực tiếp-Lương khác,1,0
6222110,1,0,6222110 -Tiền lương khác – Suất ăn nội bộ (trong công ty),1,0
6222120,1,0,"6222120 -Tiền lương khác – Ăn uống bên ngoài, v.v.",1,0
6222130,1,0,"6222130 -Tiền lương khác – Chi phí hiếu hỷ (đám cưới, tang lễ…)",1,0
6222140,1,0,6222140 -Tiền lương khác – Chung (chi phí thông thường),1,0
6222150,1,0,6222150 -Tiền lương khác – Y tế,1,0
6222200,0,0,6222200 -Chi phí nhân công trực tiếp-Lương Hỗ trợ sau thôi vc,1,0
6222210,1,0,6222210 -Trợ cấp thôi việc – cán bộ quản lý (hoặc: lãnh đạo),1,0
6222220,1,0,6222220 -Trợ cấp thôi việc – nhân viên,1,0
6222300,0,0,6222300 -Chi phí bồi thường bằng cổ phiếu,1,0
6222310,1,0,6222310 -Chi phí bồi thường bằng cổ phiếu,1,0
6230000,0,0,6230000 -Chi phí sử dụng máy thi công,1,0
6231000,1,0,6231000 -Chi phí nhân công,1,0
6232000,1,0,6232000 -Chi phí vật liệu,1,0
6233000,1,0,6233000 -Chi phí dụng cụ sản xuất,1,0
6234000,1,0,6234000 -Chi phí khấu hao máy thi công,1,0
6237000,1,0,6237000 -Chi phí dịch vụ mua ngoài,1,0
6238000,1,0,6238000 -Chi phí bằng tiền khác,1,0
6270000,0,0,6270000 -Chi phí sản xuất chung,1,0
6271000,0,0,6271000 -Chi phí nhân viên phân xưởng,1,0
6271100,0,0,6271100 -Chi phí nhân viên phân xưởng-Lương,1,0
6271110,1,0,6271110 -Chi phí nhân viên phân xưởng-Lương,1,0
6271120,1,0,6271120 -Chi phí nhân viên phân xưởng- Bảo hiểm xã hội,1,0
6271130,1,0,6271130 -Chi phí nhân viên phân xưởng- Bảo hiểm y tế,1,0
6271140,1,0,6271140 -Chi phí nhân viên phân xưởng- Bảo hiểm thất nghiệp,1,0
6271150,1,0,6271150 -Chi phí nhân viên phân xưởng- Kinh phí công đoàn,1,0
6271160,0,0,6271160 -Các khoản phụ cấp,1,0
6271161,1,0,6271161 -Các khoản phụ cấp - Phép năm,1,0
6271162,1,0,6271162 -Các khoản phụ cấp - Chung,1,0
6271170,1,0,6271170 -Chi phí nhân viên phân xưởng- Thuế TNCN,1,0
6271180,1,0,6271180 -Chi phí nhân viên phân xưởng- Thưởng,1,0
6271200,0,0,6271200 -Chi phí nhân viên phân xưởng- CP lương khác,1,0
6271210,1,0,6271210 -Tiền lương khác – Suất ăn nội bộ (trong công ty),1,0
6271220,1,0,"6271220 -Tiền lương khác – Ăn uống bên ngoài, v.v.",1,0
6271230,1,0,"6271230 -Tiền lương khác – Chi phí hiếu hỷ (đám cưới, tang lễ…)",1,0
6271240,1,0,6271240 -Tiền lương khác – Chung (chi phí thông thường),1,0
6271250,1,0,6271250 -Tiền lương khác – Y tế,1,0
6271300,0,0,6271300 -Chi phí nhân viên phân xưởng- Post-employment Benefit(DB),1,0
6271310,1,0,6271310 -Trợ cấp thôi việc – cán bộ quản lý (hoặc: lãnh đạo),1,0
6271320,1,0,6271320 -Trợ cấp thôi việc – nhân viên,1,0
6271400,1,0,6271400 -Chi phí nhân viên phân xưởng- Lương thời vụ,1,0
6271500,1,0,6271500 -Chi phí nhân viên phân xưởng- Other wellfare,1,0
6271600,0,0,6271600 -Chi phí bồi thường bằng cổ phiếu,1,0
6271610,1,0,6271610 -Chi phí bồi thường bằng cổ phiếu,1,0
6272000,1,0,6272000 -Chi phí vật liệu,1,0
6273000,0,0,6273000 -Chi phí dụng cụ sản xuất,1,0
6273110,1,0,6273110 -Chi phí dụng cụ sản xuất- Chi phí khấu hao CCDC,1,0
6273120,1,0,6273120 -Chi phí dụng cụ sản xuất- Chi phí dụng cụ SX,1,0
6274000,0,0,6274000 -Chi phí khấu hao TSCĐ,1,0
6274100,0,0,"6274100 -Chi phí khấu hao – Nhà cửa, vật kiến trúc",1,0
6274110,1,0,"6274110 -Chi phí khấu hao - Nhà cửa, vật kiến trúc",1,0
6274120,1,0,6274120 -Chi phí khấu hao - Công trình kiến trúc,1,0
6274130,1,0,6274130 -Chi phí khấu hao - Thiết bị phụ trợ công trình xây dựng,1,0
6274200,0,0,"6274200 -Chi phí khấu hao – Máy móc, thiết bị",1,0
6274210,1,0,"6274210 -Chi phí khấu hao – Máy móc, thiết bị",1,0
6274220,1,0,6274220 -Chi phí khấu hao – Trang thiết bị,1,0
6274300,1,0,"6274300 -CP khấu hao – Phương tiện vận tải, truyền dẫn",1,0
6274400,0,0,"6274400 -Chi phí khấu hao – Thiết bị, dụng cụ quản lý",1,0
6274410,1,0,"6274410 -Chi phí khấu hao -Thiết bị, dụng cụ quản lý",1,0
6274420,1,0,6274420 -Chi phí khấu hao -Trang thiết bị,1,0
6274500,1,0,"6274500 -Chi phí khấu hao – Cây lâu năm, súc vật làm việc và cho sản phẩm",1,0
6274800,1,0,6274800 -Chi phí khấu hao – Tài sản hữu hình khác,1,0
6274900,0,0,6274900 -Chi phí khấu hao – Vô hình,1,0
6274910,1,0,6274910 -CPKH TSVH -Quyền sử dụng đất,1,0
6274920,1,0,6274920 -CPKH TSVH -Quyền phát hành,1,0
6274930,1,0,"6274930 -CPKH TSVH -Bản quyền, bằng sáng chế",1,0
6274940,1,0,"6274940 -CPKH TSVH -Nhãn hiệu, tên thương mại",1,0
6274950,1,0,6274950 -CPKH TSVH -Chương trình phần mềm,1,0
6274960,1,0,6274960 -CPKH TSVH -Giấy phép và giấy phép nhượng quyền,1,0
6274990,1,0,6274990 -CPKH TSVH -TSCĐ vô hình khác,1,0
6275000,0,0,6275000 -Chi phí khấu hao tài sản quyền sử dụng,1,0
6275100,1,0,6275100 -Chi phí khấu hao – Tài sản hữu hình khác – Khác,1,0
6275200,1,0,6275200 -Chi phí khấu hao tài sản quyền sử dụng – Nhà cửa,1,0
6275300,1,0,6275300 -Chi phí khấu hao tài sản quyền sử dụng – Phương tiện vận tải,1,0
6277000,0,0,6277000 -Chi phí dịch vụ mua ngoài,1,0
6277110,0,0,"6277110 -Chi phí dịch vụ mua ngoài - Điện, nước",1,0
6277111,1,0,6277111 -Chi phí dịch vụ mua ngoài - Chi phí nước sạch sản xuất,1,0
6277112,1,0,6277112 -Chi phí dịch vụ mua ngoài - Chi phí điện sản xuất,1,0
6277120,1,0,6277120 -Chi phí dịch vụ mua ngoài - Chi phí Dịch vụ bảo vệ,1,0
6277130,0,0,"6277130 -Chi phí dịch vụ mua ngoài - Đi lại, thuê xe, taxi, vận chuyển, di chuyển, ....sản xuất",1,0
6277131,1,0,6277131 -CPDV mua ngoài - CP thuê vận chuyển- Đi lại công tác trong nước (COMP),1,0
6277132,1,0,6277132 -CPDV mua ngoài - CP thuê vận chuyển- Đi lại công tác trong nước (khác),1,0
6277133,1,0,6277133 -Chi phí dịch vụ mua ngoài - Chi phí thuê vận chuyển- Đưa đón CNV (khác),1,0
6277134,1,0,6277134 -Chi phí dịch vụ mua ngoài - Chi phí thuê vận chuyển-Khác,1,0
6277140,0,0,6277140 -Chi phí dịch vụ mua ngoài - Chi phí sửa chữa,1,0
6277141,1,0,"6277141 -CP dịch vụ mua ngoài - CP sửa chữa, bảo dưỡng, Bảo trì,... SX",1,0
6277142,1,0,6277142 -CP dịch vụ mua ngoài - CP phí sửa chữa – Kết chuyển chi phí trả trước,1,0
6277143,1,0,6277143 -Chi phí dịch vụ mua ngoài - Chi phí sửa chữa – Khác,1,0
6277150,1,0,6277150 -Chi phí dịch vụ mua ngoài - Dịch vụ cung ứng lao động,1,0
6277160,1,0,6277160 -Chi phí dịch vụ mua ngoài - Chi phí mua ngoài khác,1,0
6277170,1,0,"6277170 -Chi phí dịch vụ mua ngoài - Thuê máy photocopy, thuê thiết bị khác",1,0
6277180,1,0,6277180 -Chi phí dịch vụ mua ngoài - Chi phí tiền thuê đất,1,0
6277190,1,0,"6277190 -Chi phí dịch vụ mua ngoài - Tư vấn dịch vụ khác,...",1,0
6277210,0,0,6277210 -Chi phí dịch vụ mua ngoài - Chi phí thuê gia công ngoài,1,0
6277211,1,0,"6277211 -Chi phí gia công thuê ngoài – Xử lý, thải bỏ hóa chất",1,0
6277212,1,0,6277212 -Chi phí gia công thuê ngoài – Đơn vị gia công ngoài,1,0
6277213,1,0,6277213 -Chi phí gia công thuê ngoài – Đơn vị thuê gia công theo Hợp đồng,1,0
6277214,1,0,6277214 -Chi phí gia công thuê ngoài – Khác,1,0
6277220,0,0,6277220 -Chi phí dịch vụ mua ngoài - Chi phí bảo hiểm,1,0
6277221,1,0,6277221 -Chi phí bảo hiểm – Phương tiện vận tải,1,0
6277222,1,0,6277222 -Chi phí bảo hiểm – Nhà cửa,1,0
6277223,1,0,6277223 -Chi phí bảo hiểm – Chung,1,0
6277230,0,0,6277230 -Chi phí dịch vụ mua ngoài - Chi phí duy trì xe,1,0
6277231,1,0,6277231 -Chi phí duy trì xe - Nhiên liệu,1,0
6277232,1,0,6277232 -Chi phí duy trì xe - Quản lý,1,0
6277233,1,0,6277233 -Chi phí duy trì xe - Chung,1,0
6277234,1,0,6277234 -Chi phí duy trì xe - Thuê ôtô,1,0
6277240,0,0,6277240 -Chi phí dịch vụ mua ngoài - Chi phí vận chuyển (LOGISTIC),1,0
6277241,1,0,6277241 -Chi phí vận chuyển - Vận chuyển nội địa,1,0
6277242,1,0,6277242 -Chi phí vận chuyển - Vận chuyển quốc tế,1,0
6277250,0,0,"6277250 -Chi phí dịch vụ mua ngoài - Chi phí đào tạo, huấn luyện",1,0
6277251,1,0,"6277251 -Chi phí đào tạo, huân luyện - Bên ngoài",1,0
6277260,0,0,"6277260 -Chi phí dịch vụ mua ngoài - Chi phí sách, in ấn",1,0
6277261,1,0,"6277261 -Chi phí sách, in ấn",1,0
6277270,0,0,6277270 -Chi phí dịch vụ mua ngoài - Chi phí vật tư tiêu hao,1,0
6277271,1,0,6277271 -Chi phí vật tư tiêu hao - Trang thiết bị,1,0
6277272,1,0,6277272 -Chi phí vật tư tiêu hao - Văn phòng phẩm,1,0
6277273,1,0,6277273 -Chi phí vật tư tiêu hao - Chung,1,0
6277280,0,0,"6277280 -Chi phí dịch vụ mua ngoài - Chi phí hoa hồng, phí dịch vụ trả ngoài",1,0
6277281,1,0,"6277281 -Chi phí hoa hồng – Phí bảo trì, bảo dưỡng",1,0
6277282,1,0,"6277282 -Chi phí hoa hồng – Phí kiểm tra, đo lường",1,0
6277283,1,0,6277283 -Chi phí hoa hồng – Chung,1,0
6277290,0,0,6277290 -Chi phí dịch vụ mua ngoài - Chi phí kiểm tra,1,0
6277291,1,0,6277291 -Chi phí dịch vụ mua ngoài - Chi phí kiểm tra,1,0
6277310,0,0,6277310 -Chi phí dịch vụ mua ngoài - Chi phí hàng mẫu,1,0
6277311,1,0,6277311 -Chi phí dịch vụ mua ngoài - Chi phí mẫu hàng,1,0
6277320,0,0,6277320 -Chi phí dịch vụ mua ngoài - Chi phí thông tin liên lạc (Viễn thông),1,0
6277321,1,0,6277321 -Chi phí thông tin liên lạc (Viễn thông),1,0
6277410,0,0,"6277410 -Chi phí dịch vụ mua ngoài - Chi phí Chuyển giao công nghệ, Hỗ trợ kỹ thuật công nghệ",0,0
6277411,1,0,6277411 -Chi phí dịch vụ mua ngoài - Chi phí Chuyển giao công nghệ,1,0
6277412,1,0,6277412 -Chi phí dịch vụ mua ngoài - CP Hỗ trợ kỹ thuật công nghệ,1,0
6278000,0,0,6278000 -Chi phí bằng tiền khác,1,0
6278100,1,0,6278100 -Chi phí thông tin liên lạc (viễn thông),1,0
6278200,0,0,6278200 -Chi phí bảo hiểm,1,0
6278210,1,0,6278210 -Chi phí bảo hiểm – Phương tiện vận tải,1,0
6278220,1,0,6278220 -Chi phí bảo hiểm – Nhà cửa,1,0
6278230,1,0,6278230 -Chi phí bảo hiểm – Chung,1,0
6278300,0,0,6278300 -Chi phí duy trì xe,1,0
6278310,1,0,6278310 -Chi phí duy trì xe – Nhiên liệu,1,0
6278320,1,0,6278320 -Chi phí duy trì xe – Quản lý,1,0
6278330,1,0,6278330 -Chi phí duy trì xe – Chung,1,0
6278340,1,0,6278340 -Chi phí duy trì xe – Thuế ô tô,1,0
6278400,0,0,6278400 -Chi phí vận chuyển,1,0
6278410,1,0,6278410 -Chi phí vận chuyển – Vận chuyển nội địa,1,0
6278420,1,0,6278420 -Chi phí vận chuyển – Vận chuyển quốc tế,1,0
6278500,0,0,"6278500 -Chi phí đào tạo, huấn luyện",1,0
6278510,1,0,"6278510 -Chi phí đào tạo, huấn luyện – Bên ngoài",1,0
6278600,0,0,"6278600 -Chi phí sách, in ấn",1,0
6278610,1,0,"6278610 -Chi phí sách, in ấn",1,0
6278700,0,0,6278700 -Chi phí vật tư tiêu hao,1,0
6278710,1,0,6278710 -Chi phí vật tư tiêu hao – Trang thiết bị,1,0
6278720,1,0,6278720 -Chi phí vật tư tiêu hao – Văn phòng phẩm,1,0
6278730,1,0,6278730 -Chi phí vật tư tiêu hao – Chung,1,0
6278800,0,0,"6278800 -Chi phí hoa hồng, phí dịch vụ trả ngoài",1,0
6278810,1,0,"6278810 -Chi phí hoa hồng – Phí bảo trì, bảo dưỡng",1,0
6278820,1,0,"6278820 -Chi phí hoa hồng – Phí kiểm tra, đo lường",1,0
6278830,1,0,6278830 -Chi phí hoa hồng – Chung,1,0
6278900,0,0,6278900 -Chi phí kiểm tra,1,0
6278910,1,0,6278910 -Chi phí kiểm tra,1,0
6279100,0,0,6279100 -Chi phí mẫu hàng,1,0
6279110,1,0,6279110 -Chi phí mẫu hàng,1,0
6310000,1,0,6310000 -Giá thành sản xuất,1,0
6320000,1,0,6320000 -Giá vốn hàng bán,1,0
6350000,0,0,6350000 -Chi phí tài chính,0,1
6351000,0,0,6351000 -Chi phí tài chính - Lãi vay,0,1
6351100,0,0,6351100 -Chi phí tài chính - Lãi vay ngắn hạn,0,1
